CUSTOMER_KEY,TRIAL_CUSTOMER_TYPE,CONTROL_GROUP_FLAG,TARIFF_PRODUCT_CD,FEEDBACK_TECH1_PRODUCT_CD,FEEDBACK_TECH2_PRODUCT_CD,LIFESTYLE_AUDIT_PRODUCT_CD,INFERRED_CELL,VERIFIED_CELL,SERVICE_TYPE,GENERAL_SUPPLY_CNT,CONTROLLED_LOAD_CNT,NET_SOLAR_CNT,GROSS_SOLAR_CNT,OTHER_LOAD_CNT,SERVICE_LOC_STATUS_NAME,ASSRTD_CLIMATE_ZONE_CD,ASSRTD_CLIMATE_ZONE_DESC,ASSRTD_DWELLING_TYPE_CD,ASSRTD_GAS_USAGE_GROUP_CD,ASSRTD_ELECTRICITY_USE_GRP_CD,DWELLING_TYPE_CD,DRYER_USAGE_CD,REDUCING_CONSUMPTION_CD,AIRCON_TYPE_CD,NUM_REFRIGERATORS,NUM_ROOMS_HEATED,HAS_GENERATION,HAS_INTERNET_ACCESS,HAS_GAS,HAS_GAS_HEATING,HAS_GAS_HOT_WATER,HAS_GAS_COOKING,HAS_POOLPUMP,HAS_AIRCON,HAS_GAS_OTHER_APPLIANCE,IS_HOME_DURING_DAYTIME,HAS_AGREED_TO_SMS,SMART_METER_INSTALLATION_DATE,LIFESTYLE_AUDIT_PERFORMED_DATE,PROVISIONING_COMPLETE_DATE,OFFER_WITHDRAWN_DATE,ACCEPTANCE_WITHDRAWN_DATE,OPERATION_START_DATE,OPERATION_FINISH_DATE,AGREEMENT_EXIT_REASON
8143479,Control,Y,,,,,12,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,27-Jun-12,,,,,,,
8143507,Network,N,,,,,84,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,23-Mar-12,,,,,,,
8143511,Network,N,,,,NETLSA,38,36.0,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,MED,MED,SeparateHouse,LOW,HI,SplitSystem,3.0,0.0,N,N,N,N,N,N,N,Y,N,N,N,5-Dec-11,,5-Oct-12,,,5-Oct-12,28-Feb-14,OPTOUTNETWKCLOSE
8143533,Network,N,,,,,84,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,21-Apr-12,,,,,,,
8143537,Network,N,,NETPOR,,,48,48.0,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,MED,SeparateHouse,HI,MED,SplitSystem,2.0,0.0,N,Y,N,N,N,N,Y,Y,N,N,N,24-Mar-12,,14-Jun-13,,,14-Jun-13,28-Feb-14,OPTOUTNETWKCLOSE
8143563,Control,Y,,,,,48,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,5-Dec-11,,,,,,,
8143599,Network,N,,,,,84,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,23-Mar-12,,,,,,,
8144653,Network,N,,,,,16,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28-Jul-12,,,,,,,
8144679,Network,N,,,,,16,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,15-Aug-12,,,,,,,
8144683,Network,N,NETDPRPPE,,,,52,48.0,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,HI,MED,SeparateHouse,NONE,LOW,,1.0,0.0,N,Y,N,N,N,N,N,N,N,N,Y,13-Aug-12,,1-Nov-12,,,1-Nov-12,28-Feb-14,OPTOUTNETWKCLOSE
8144689,Control,Y,,,,,52,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,MED,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,17-Aug-12,,,,,,,
8144705,Network,N,,,,,88,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,13-Aug-12,,,,,,,
8144715,Network,N,,NETPOR,NETSIHD,,16,26.0,Domestic,1,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,HI,LOW,SeparateHouse,LOW,HI,SplitSystem,1.0,1.0,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,9-Feb-12,,3-Dec-12,,,3-Dec-12,28-Feb-14,OPTOUTNETWKCLOSE
8144977,Control,Y,,,,,14,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,10-Feb-12,,,,,,,
8145239,Control,Y,,,,,72,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3-Apr-12,,,,,,,
8145435,Network,N,NETDPRPPE,,,,36,36.0,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,MED,SeparateHouse,LOW,MED,SplitSystem,2.0,0.0,N,Y,N,N,N,N,N,Y,N,N,Y,1-Mar-12,,6-Dec-12,,,6-Dec-12,28-Feb-14,OPTOUTNETWKCLOSE
8145485,Network,N,,,,,72,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,26-Mar-12,,,,,,,
8145499,Network,N,,,,,36,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,26-Mar-12,,,,,,,
8145501,Network,N,,,,,76,72.0,Domestic,2,2,2,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,SeparateHouse,MED,NONE,Ducted,2.0,2.0,Y,N,Y,Y,N,N,Y,Y,N,N,Y,16-Mar-12,,,,,,,
8145997,Network,N,NETDPRPPE,,,,50,40.0,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,MED,MED,SeparateHouse,NONE,HI,SplitSystem,1.0,3.0,N,N,Y,Y,N,N,N,Y,Y,N,Y,26-May-12,,17-Oct-12,,,17-Oct-12,28-Feb-14,OPTOUTNETWKCLOSE
8146001,Network,N,,,,,50,48.0,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,MED,SeparateHouse,NONE,HI,,2.0,0.0,N,Y,N,N,N,N,N,N,N,N,N,26-May-12,,,,,,,
8146007,Control,Y,,,,,86,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2-Jun-12,,,,,,,
8146067,Control,Y,,,,,86,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,4-Jun-12,,,,,,,
8146093,Network,N,NETDPRPPE,,,,98,84.0,Domestic,1,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,MED,HI,SeparateHouse,NONE,MED,Ducted,4.0,0.0,N,N,N,N,N,N,Y,Y,N,N,Y,3-Mar-12,,18-Oct-12,,,18-Oct-12,28-Feb-14,OPTOUTNETWKCLOSE
8146131,Control,Y,,,,,86,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,9-Jul-12,,,,,,,
8146235,Network,N,NETDPRPPE,,,,38,36.0,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,MED,MED,SeparateHouse,LOW,MED,SplitSystem,2.0,0.0,N,N,N,N,N,N,Y,Y,N,N,Y,31-Mar-12,,3-Oct-12,,,3-Oct-12,28-Feb-14,OPTOUTNETWKCLOSE
8147121,Control,Y,,,,,36,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,31-Jul-12,,,,,,,
8147529,Network,N,,,,,86,,Domestic,2,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,5-Jul-12,,,,,,,
8147647,Network,N,,,,,72,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,13-Jul-12,,,,,,,
8147683,Network,N,,NETPOR,,,60,48.0,Domestic,3,2,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,MED,SeparateHouse,MED,MED,SplitSystem,1.0,0.0,N,Y,N,N,N,N,Y,Y,N,N,Y,3-Feb-12,,13-Dec-12,,,13-Dec-12,28-Feb-14,OPTOUTNETWKCLOSE
8147769,Network,N,NETDPRPPE,,,,72,72.0,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,HI,SeparateHouse,LOW,HI,SplitSystem,1.0,0.0,N,Y,N,N,N,N,Y,Y,N,N,Y,13-Jul-12,,29-Nov-12,,,29-Nov-12,28-Feb-14,OPTOUTNETWKCLOSE
